Column 2,Column 9,Column 10,Column 11,Column 12,Column 47
Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,
CHEMBL1082454,Cc1ccc(Cn2ncc3c4sc(C)cc4n(C)c3c2=O)cc1,AC50,'=',356.0,
CHEMBL1086540,Cc1cc2c(s1)c1cnn(Cc3cccc(Cl)c3)c(=O)c1n2C,AC50,'=',126.0,
CHEMBL1088762,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,AC50,'=',750.0,
CHEMBL1093061,O=S(=O)(NCC1CN(S(=O)(=O)c2c(F)cccc2F)C1)c1ccc2c(c1)OCCO2,AC50,'=',3050.0,
CHEMBL1093687,O=S(=O)(c1ccc2c(c1)OCO2)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',191.0,
CHEMBL1089364,O=S(=O)(c1c(F)cccc1F)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',254.0,
CHEMBL1092463,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2ccccn2)CC1,AC50,'=',542.0,
CHEMBL1094006,O=S(=O)(c1ccccc1)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',202.0,
CHEMBL1092462,COc1cccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1,AC50,'=',113.0,
CHEMBL4437193,O=C(CCSC(=S)NCc1cccnc1)c1cnn2ncccc12,AC50,'=',220.0,
CHEMBL3104563,CCCCN(Cc1ccccc1)C(=O)c1cc(Br)c[nH]1,AC50,'=',6330.0,
CHEMBL4168087,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1cccc2ccccc12,AC50,'>',20000.0,
CHEMBL4588438,O=C(CCSC(=S)NCc1cccnc1)c1cn(CC(F)F)c2ncccc12,AC50,'=',2670.0,
CHEMBL4458624,C#Cc1ccnc2[nH]cc(C(=O)CCSC(=S)NCc3cccnc3)c12,AC50,'>',20000.0,
CHEMBL4558486,O=C(CCSC(=S)NCc1cccnc1)c1cn(-c2cccs2)c2ncccc12,AC50,,,
CHEMBL4552195,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2ncccc12,AC50,'=',1000.0,
CHEMBL4170317,Cc1cccc(S(=O)(=O)Nc2ccc(C3(O)CSC(=S)N3Cc3cccnc3)cc2)c1,AC50,'=',6250.0,
CHEMBL4161775,N#Cc1ccc(S(=O)(=O)Nc2ccc(C3(O)CSC(=S)N3Cc3cccnc3)cc2)cc1,AC50,'>',20000.0,
CHEMBL4159690,Cc1ccccc1S(=O)(=O)Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1,AC50,'=',1190.0,
CHEMBL4162178,Cc1ccc(S(=O)(=O)Nc2ccc(C3(O)CSC(=S)N3Cc3cccnc3)cc2)cc1,AC50,'>',20000.0,
CHEMBL4466655,C=C1C(=O)O[C@H]2[C@H]1CC/C(C(=O)OCCOCCOC(=O)/C1=C/CC[C@@]3(C)O[C@H]3[C@H]3OC(=O)C(=C)[C@@H]3CC1)=C\CC[C@@]1(C)O[C@@H]21,AC50,'=',15.0,
CHEMBL1085648,Cn1c2cc(CO)sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'=',48.0,
CHEMBL1083165,CCc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',100.0,
CHEMBL1093996,O=S(=O)(c1ccc2ccccc2c1)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',66.0,
CHEMBL1091503,N#Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,AC50,'=',29.0,
CHEMBL1084058,Cc1cc2c(s1)c1cnn(-c3ccccc3)c(=O)c1n2C,AC50,,,
CHEMBL1086565,CSc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',24.0,
CHEMBL1093361,C[C@H]1CN(S(=O)(=O)c2c(F)cccc2F)CCN1S(=O)(=O)c1ccc2c(c1)OCCO2,AC50,'=',4340.0,
CHEMBL1089607,Nc1cccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1,AC50,'=',43.0,
CHEMBL1089059,O=C1CN(S(=O)(=O)c2c(F)cccc2F)CCN1S(=O)(=O)c1ccc2c(c1)OCCO2,AC50,'=',114.0,
CHEMBL1082457,Cc1cc2c(s1)c1cnn(Cc3ccc(F)cc3F)c(=O)c1n2C,AC50,'=',44.0,
CHEMBL1085215,Cc1cc2c(s1)c1cnn(Cc3ccc(Cl)cc3)c(=O)c1n2C,AC50,'=',326.0,
CHEMBL1085411,CCn1c2cc(C)sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'=',5900.0,
CHEMBL1085147,CC(O)c1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',136.0,
CHEMBL1085649,Cn1c2cc(B(O)O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,AC50,'>',10000.0,
CHEMBL1086320,Cc1cc2c(s1)c1cnn(Cc3cccc(F)c3)c(=O)c1n2C,AC50,'=',225.0,
CHEMBL1092121,O=S(=O)(NC1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1)c1c(F)cccc1F,AC50,'=',3690.0,
CHEMBL1091457,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',866.0,
CHEMBL1094007,O=S(=O)(c1cccc(C(F)(F)F)c1)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',209.0,
CHEMBL1089031,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2cccc[n+]2[O-])CC1,AC50,'>',10000.0,
CHEMBL1091079,CCCc1cc(F)c(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c(F)c1,AC50,'=',757.0,
CHEMBL1093091,O=S(=O)(NCCCCCNS(=O)(=O)c1c(F)cccc1F)c1ccc2c(c1)OCCO2,AC50,'=',2330.0,
CHEMBL1088747,C[C@H]1CN(S(=O)(=O)c2ccc3c(c2)OCCO3)CCN1S(=O)(=O)c1c(F)cccc1F,AC50,'=',9180.0,
CHEMBL1090753,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2c(F)ccc(O)c2F)CC1,AC50,'=',52.0,
CHEMBL1092471,O=S(=O)(NC1CCN(S(=O)(=O)c2c(F)cccc2F)C1)c1ccc2c(c1)OCCO2,AC50,'>',10000.0,
CHEMBL1091078,COc1cc(F)c(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c(F)c1,AC50,'=',28.0,
CHEMBL1089333,COc1cc(F)c(S(=O)(=O)N2CCCN(S(=O)(=O)c3cccc(N)c3)CC2)c(F)c1,AC50,'=',223.0,
CHEMBL3104592,Nc1cc(C(=O)N(Cc2ccc(O)cc2F)CC2CCC2)[nH]n1,AC50,'>',30000.0,
CHEMBL3104585,O=C(c1cc(Cl)n[nH]1)N(Cc1cccc2[nH]ccc12)CC1CCC1,AC50,'=',757.0,
CHEMBL3104560,O=C(NCc1ccccc1)c1cc(Br)c[nH]1,AC50,'=',36000.0,
CHEMBL1085874,COC(=O)c1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',84.0,
CHEMBL1086350,CC(=O)Nc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'>',25000.0,
CHEMBL1084625,Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,AC50,'=',63.0,
CHEMBL1085588,Cn1c2cc([S+](C)[O-])sc2c2cnn(Cc3cccc(N)c3)c(=O)c21,AC50,'=',92.0,
CHEMBL1090756,O=S(=O)(c1ccc2c(c1)OCCCO2)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,'=',103.0,
CHEMBL1092480,O=C(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AC50,,,
CHEMBL1089334,Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1,AC50,'=',38.0,
CHEMBL1091761,Nc1cccc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(F)cccc3F)CC2)c1,AC50,'=',99.0,
CHEMBL1091458,O=S(=O)(NCCNS(=O)(=O)c1c(F)cccc1F)c1ccc2c(c1)OCCO2,AC50,'>',15000.0,
CHEMBL1090775,O=S(=O)(c1cccc(F)c1)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,'=',316.0,
CHEMBL1093049,O=S(=O)(NC1CCN(S(=O)(=O)c2c(F)cccc2F)CC1)c1ccc2c(c1)OCCO2,AC50,'=',9000.0,
CHEMBL1093688,CN1CCOc2ccc(S(=O)(=O)N3CCN(S(=O)(=O)c4c(F)cccc4F)CC3)cc21,AC50,'=',2710.0,
CHEMBL1091055,Cn1ccc2cc(S(=O)(=O)N3CCN(S(=O)(=O)c4c(F)cccc4F)CC3)ccc21,AC50,'=',387.0,
CHEMBL1083137,Cc1cc2c(s1)c1cnn(Cc3ccccc3)c(=O)c1n2C,AC50,'=',62.0,
